content,그 중앙도서관 2~3층이 법학관이여?
comment,ㄴㄴ법학관이라고 법대 건물 있어 거기에 열람실 빼둠 근데 중도 왔을지도 모르지ㅜ,11/20 19:51
comment,끄응...망했다,11/20 19:52
comment,나도...,11/20 19:53
content,"오형택 교수님 ( ㅇㅎㅌ ) 일반물리학및실험2 (일물실2) - 10주차 (11/4 , 11/6) 수업 녹화한거 있으신분 사례드릴게요 !!"
content,자율사물입문 3D 프린트 과제 저장할때 stl 로 했으면 이름 바꿀때 학번_성 으로만해도 제출할때파일은 학번_성.stl 로 나오는데 이렇게 제출하는거 맞죠???
comment,+) 저장한 .stl 형식의 파일 이름을 학번_성.stl 로 바꾸면 제출할때 .stl 이 두개가 생겨서요!!,11/20 20:14
comment,전 그냥 학번_성 했어요 .stl 붙여서 저장하면 제출할 때 .stl.stl 이렇게 되길래요.....,11/20 20:16
comment,끄쵸끄쵸??? 저도 그랬는데 몽가 불안해가지구..,11/20 20:18
comment,저는 두개 했다고 안 좋을 거 없을 것 같아서 그냥 혹시 몰라서 썼어요!,11/20 22:23
content,eas2 크레이그 교수님 발표 ppt 있어야 돼.....?
comment,나도 이거 궁금해..ㅜ,11/20 22:28
content,어제 법밤 준비한 사람들 법대 학생횐가 그 분들이랑은 일단 만나면 안 되는 거겠지
comment,"이구,, 열심히 준비한 비대위만 불쌍,,",11/20 20:44
comment,헉 오ㅑ??,11/20 21:11
comment,"?!? 뭔상관이람,,,,괜한 열심히 준비한 사람들잡네,,,,",11/20 21:21
comment,뭔 일 있었어? 난 타과 학생이얌..,11/20 21:22
comment,"어제 외부인이 학생증 대여받아서 법학관 2층 열람실들어왔는데 그사람이 코로나 확진받았어..! 아직 구체적인건 조사중이라 밝혀지지 않았는데 법대 비대위는 그날 다른 곳에서 법밤 열심히열어줬을 뿐 애먼 사람 잡는다는 느낌,,,",11/20 21:25
comment,"비대위가 법학관이란 공간에 있었으니 이해는 하지만 굳이 이렇게 비대위도 볼 수 있는 에타에 글을 올렸어야했나,,,,허허",11/20 21:28
