User,Date,Message
손형도,2020-11-27 16:50,경원이 텀프로젝트 했냐
손형도,2020-11-27 16:50,아오 썅 왜이리 이해가 안돼 자바는
손형도,2020-11-27 16:50,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
9916서경원,2020-11-27 16:50,하는 중
9916서경원,2020-11-27 16:50,이거 하고 파이썬도 해서
9916서경원,2020-11-27 16:50,낼 만나야지
손형도,2020-11-27 16:50,어디까지 했어 넌?
손형도,2020-11-27 16:50,그니까
손형도,2020-11-27 16:50,그래얒
손형도,2020-11-27 16:50,야지
9916서경원,2020-11-27 16:50,구간 나누기 중
손형도,2020-11-27 16:50,구간 나누기 넌 어케 보고있냐
9916서경원,2020-11-27 16:50,구간을 말그대로 나누라고 한다고 보고 있는데
9916서경원,2020-11-27 16:51,일일이 구간 설정하는건 말이 안되지
손형도,2020-11-27 16:51,그니까
손형도,2020-11-27 16:51,아오 어려워
9916서경원,2020-11-27 16:52,그러게
9916서경원,2020-11-27 16:52,이거 하고 파이썬도 해야 되는데
손형도,2020-11-27 16:53,그니까
손형도,2020-11-27 16:53,해야지
손형도,2020-11-27 16:53,ㅎㅎ
손형도,2020-11-27 18:54,혹시 좀 풀리면
손형도,2020-11-27 18:54,아이디어 공유 좀 가능하니
손형도,2020-11-27 18:54,진짜 모르겠다
손형도,2020-11-27 18:54,와
9916서경원,2020-11-27 18:57,나도 풀고 있어... ㅜㅜㅜ
손형도,2020-11-27 18:58,오키
손형도,2020-11-27 18:58,나도 해보는 중이야
손형도,2020-11-27 19:47,혹시 구간 나누는 아이디어 찾았어??
9916서경원,2020-11-27 19:49,Random r = new Random();
손형도,2020-11-27 19:57,아 미치겠다
손형도,2020-11-27 19:57,머리 1도 안돌아가..
손형도,2020-11-29 19:59,파이썬 프로젝트 좀 많이 바꿈?
9916서경원,2020-11-29 20:00,show_timeline에서
9916서경원,2020-11-29 20:00,전체 다 나오게 했어
9916서경원,2020-11-29 20:00,기본 화면에서
손형도,2020-11-29 20:00,아니
손형도,2020-11-29 20:00,구조 전체적으로 바꿨냐구
9916서경원,2020-11-29 20:00,구조는 안바꿨어
손형도,2020-11-29 20:00,아
손형도,2020-11-29 20:00,ㅇㅋ
9916서경원,2020-11-29 20:00,파일 3개로 나눈거 말고는
손형도,2020-11-29 20:00,아오 썅
손형도,2020-11-29 20:00,똑같이 했구만
손형도,2020-11-29 20:00,한번 비교해보고
손형도,2020-11-29 20:00,좀 서로 다르게 하자
9916서경원,2020-11-29 20:00,나도 바꿀게 그러면
손형도,2020-11-29 20:00,ㅋㅋㅋㅋㅋㅋㅋ
손형도,2020-11-29 20:01,공유 ㄱ
9916서경원,2020-11-29 20:01,파일: Assign.zip
손형도,2020-11-29 20:01,파일: project.zip
손형도,2020-11-29 20:02,좀 수정 하자
손형도,2020-11-29 20:02,너무 많이 비슷하네
9916서경원,2020-11-29 20:02,알았어
9916서경원,2020-11-29 20:31,형 member_info 부분에 student_no랑 password 위치 바꼈어
손형도,2020-11-29 20:32,ㅇ
손형도,2020-11-29 20:32,ㅇㅇ
손형도,2020-11-29 20:32,그냥 구조 바꿀 수 있음 좀 바꿔봐
9916서경원,2020-11-29 20:32,바꿔볼게
손형도,2020-11-29 20:32,그런 자잘한거는 당연히 바꿔야되구
손형도,2020-11-29 20:32,그
손형도,2020-11-29 20:32,구조 아예 뜯어바꾸는중임
9916서경원,2020-11-29 20:32,나도 바꿀게
9916서경원,2020-11-29 21:03,이정도면 많이 바꿨지?
9916서경원,2020-11-29 21:03,파일: Assign.zip
9916서경원,2020-11-29 21:03,1번이랑 2번 자리 바꾸고
9916서경원,2020-11-29 21:03,자잘하게 {} 지우고
손형도,2020-11-29 21:04,그니까
9916서경원,2020-11-29 21:04,중간에 로그인 화면에서
손형도,2020-11-29 21:04,구조 자체 변경을 최대한 해야하는데..
9916서경원,2020-11-29 21:04,for문 지우고
9916서경원,2020-11-29 21:04,i for i 문으로 바꿨어
손형도,2020-11-29 21:04,자잘한 거 바꾼다고 티가 안나용..
손형도,2020-11-29 21:04,여튼 최대한 시간 될 때까지 바꿔보자
9916서경원,2020-11-29 21:04,응..
손형도,2020-11-29 21:25,내가 다 합쳐서 낼게
손형도,2020-11-29 21:25,3개 나눈거 까지 같으면
손형도,2020-11-29 21:25,너무 비슷하다
9916서경원,2020-11-29 21:25,나 지금 더 고치고 있어
